q,ic50
0,12.402633202681177
0.01,160.30500076452734
0.02,276.1691889231817
0.03,415.3039584141078
0.04,549.2581460705496
0.05,702.5276827260793
0.06,873.6382406118105
0.07,1139.2915925328011
0.08,1466.4984556988838
0.09,1775.4547363759943
0.1,2220.6243266727924
0.11,2766.664185536525
0.12,3281.8601211575933
0.13,3818.1125837021364
0.14,4357.886936625994
0.15,5054.563793509418
0.16,5730.110801776088
0.17,6484.453973642114
0.18,7207.369809852072
0.19,8031.194417335083
0.2,8717.476503893222
0.21,9568.273234080221
0.22,10721.61657433597
0.23,11892.139499375067
0.24,12749.752512577068
0.25,13905.72713077889
0.26,14917.975411109324
0.27,16269.8400021944
0.28,17558.540206881982
0.29,19073.78026804746
0.3,20502.532527479067
0.31,21974.167261429582
0.32,23408.027279854225
0.33,25037.95013505177
0.34,26687.731388069667
0.35000000000000003,28319.118449462883
0.36,30460.507131398364
0.37,32204.974843669963
0.38,34031.63600046633
0.39,36045.33611779703
0.4,38472.46399007817
0.41000000000000003,40486.588112371726
0.42,42446.69342489629
0.43,44647.37002863838
0.44,46548.56863973435
0.45,48846.038817299064
0.46,51041.5151472366
0.47000000000000003,53631.05416400254
0.48,55899.6951176296
0.49,58448.14883827108
0.5,60854.19253036131
0.51,63484.83193023585
0.52,66138.85142585295
0.53,68917.26593664181
0.54,71962.47910919564
0.55,74636.74583324156
0.56,78701.56023173367
0.5700000000000001,82229.35000676365
0.58,85949.06886759857
0.59,89985.76858456896
0.6,93809.07809620917
0.61,97470.60040166999
0.62,101527.78711129645
0.63,105691.61497275013
0.64,109662.92449022812
0.65,114540.73711731136
0.66,119977.90733670667
0.67,125496.27840968454
0.68,130857.03525982314
0.6900000000000001,136180.80195581992
0.7000000000000001,142261.25909059585
0.71,147573.9556533625
0.72,155311.885104895
0.73,161876.70507923973
0.74,169092.14182021117
0.75,177104.58670084822
0.76,188157.11628848675
0.77,196897.67804477655
0.78,207439.53799626237
0.79,216798.96813358524
0.8,228144.7785480155
0.81,241376.28134504397
0.8200000000000001,257199.0248441409
0.8300000000000001,270086.24435388146
0.84,285960.1480931861
0.85,305360.2377604975
0.86,323498.01217535575
0.87,349964.41030425293
0.88,376064.1015936534
0.89,407635.47240358783
0.9,449112.52813286125
0.91,492599.14269307174
0.92,546310.3027575464
0.93,603380.4514913679
0.9400000000000001,671278.3235981576
0.9500000000000001,773090.4660930947
0.96,881969.9038565708
0.97,1034253.8717976805
0.98,1298519.269946839
0.99,1652006.47009619
1,6012072.775014206
